CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
Anik F1,Canada,Commercial,GEO,-107.27,,,,,,2000-11-21,15.0,USA,Ariane 44L,0.0,Commercial,Ariane,2000
Anik F1R,Canada,Commercial,GEO,-107.3,,,,,,2005-09-09,15.0,France/UK/Germany/Spain,Proton M,0.0,Commercial,Proton,2005
Anik F2,Canada,Commercial,GEO,-111.07,,,,,,2004-07-18,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2004
Anik F3,Canada,Commercial,GEO,-118.69,,,,,,2007-04-09,15.0,France/UK/Germany/Spain,Proton M,0.0,Commercial,Proton,2007
Anik G1,Canada,Commercial,GEO,-107.3,,,,,,2013-04-15,15.0,USA,Proton M,0.0,Commercial,Proton,2013
Aoba-VELOX 4,Japan,Civil,LEO,0.0,481.0,513.0,3.0,,,2019-01-18,,Japan,Epsilon,0.0,Civil,Epsilon,2019
AprizeSat 1,Argentina,Commercial,LEO,0.0,696.0,764.0,12.0,12.0,,2004-06-29,,Argentina,Dnepr,0.0,Commercial,Dnepr,2004
AprizeSat 10,USA/Argentina,Commercial,LEO,0.0,613.0,733.0,12.0,12.0,,2014-06-19,,USA,Dnepr,0.0,Commercial,Dnepr,2014
AprizeSat 2,Argentina,Commercial,LEO,0.0,694.0,850.0,12.0,12.0,,2004-06-29,,Argentina,Dnepr,0.0,Commercial,Dnepr,2004
AprizeSat 3,USA/Argentina,Commercial,LEO,0.0,559.0,662.0,12.0,12.0,,2009-07-29,,USA,Dnepr,0.0,Commercial,Dnepr,2009
AprizeSat 4,USA/Argentina,Commercial,LEO,0.0,604.0,674.0,12.0,12.0,,2009-07-29,,USA,Dnepr,0.0,Commercial,Dnepr,2009
AprizeSat 5,Canada,Commercial,LEO,0.0,610.0,694.0,12.0,12.0,,2011-08-17,,USA,Dnepr,0.0,Commercial,Dnepr,2011
AprizeSat 7,Canada,Commercial,LEO,0.0,594.0,653.0,12.0,12.0,,2013-11-21,,USA,Dnepr,0.0,Commercial,Dnepr,2013
AprizeSat 8,USA/Argentina,Commercial,LEO,0.0,594.0,669.0,12.0,12.0,,2013-11-21,,USA,Dnepr,0.0,Commercial,Dnepr,2013
AprizeSat 9,Canada,Commercial,LEO,0.0,613.0,715.0,12.0,12.0,,2014-06-19,,USA,Dnepr,0.0,Commercial,Dnepr,2014
Apstar 6,China,Commercial,GEO,134.04,,,,,,2005-04-12,,France/Italy,Long March 3B,0.0,Commercial,Long March,2005
Apstar 6C,China,Commercial,GEO,134.0,,,,,,2018-05-03,15.0,China,Long March 3B,0.0,Commercial,Long March,2018
Apstar 6D,China,Commercial,GEO,134.0,,,,,,2020-07-09,15.0,China,Long March 3B,0.0,Commercial,Long March,2020
Apstar 7,China,Commercial,GEO,76.5,,,,,,2012-03-31,15.0,France/Italy,Long March 3B,0.0,Commercial,Long March,2012
Apstar 9,China,Commercial,GEO,142.0,,,,,,2015-10-16,15.0,China,Long March 3B,0.0,Commercial,Long March,2015
Arabsat 5C,Multinational,Government,GEO,19.99,,,,,,2011-09-21,15.0,France,Ariane 5 ECA,0.0,Government,Ariane,2011
Arabsat 6A,Multinational,Commercial,GEO,30.5,,,,,,2019-04-11,15.0,USA,Falcon Heavy,0.0,Commercial,Falcon,2019
Arabsat 7F,Multinational,Commercial,GEO,44.5,,,,,,1999-05-20,12.0,USA/Canada,Proton D,0.0,Commercial,Proton,1999
Arkyd-6A,USA,Commercial,LEO,0.0,493.0,505.0,10.0,,,2018-01-11,,USA,PSLV,0.0,Commercial,PSLV,2018
ARMADILLO,USA,Civil,Elliptical,0.0,305.0,851.0,4.0,,,2019-06-25,,USA,Falcon Heavy,0.0,Civil,Falcon,2019
ArSat 1,Argentina,Commercial,GEO,-71.8,,,,,,2014-10-16,15.0,Argentina,Ariane 5 ECA,0.0,Commercial,Ariane,2014
ArSat 2,Argentina,Commercial,GEO,-81.0,,,,,,2015-09-30,15.0,Argentina,Ariane 5 ECA,0.0,Commercial,Ariane,2015
AsiaSat-3S,China,Commercial,GEO,105.55,,,,,,1999-03-21,15.0,USA,Proton K,0.0,Commercial,Proton,1999
AsiaSat-5,China,Commercial,GEO,100.5,,,,,,2009-08-11,15.0,USA,Breeze M,0.0,Commercial,Breeze,2009
AsiaSat-6,China,Commercial,GEO,120.0,,,,,,2014-09-07,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2014
AsiaSat-7,China,Commercial,GEO,105.5,,,,,,2011-11-25,15.0,USA,Proton M,0.0,Commercial,Proton,2011
AsiaSat-8,China,Commercial,GEO,105.5,,,,,,2014-08-05,15.0,USA,Falcon 9,0.0,Commercial,Falcon,2014
AsiaSat-9,China,Commercial,GEO,122.0,,,,,,2017-09-28,15.0,USA,Proton,0.0,Commercial,Proton,2017
AsiaStar,USA,Commercial,GEO,104.97,,,,,,2000-03-21,15.0,France,Ariane 5G,0.0,Commercial,Ariane,2000
ASNARO-1,Japan,Government,LEO,0.0,506.0,507.0,500.0,,,2014-11-06,3.0,Japan,Dnepr,0.0,Government,Dnepr,2014
ASNARO-2,Japan,Government,LEO,0.0,493.0,505.0,570.0,,,2018-01-17,3.0,Japan,Epsilon,0.0,Government,Epsilon,2018
Astra 1D,Luxembourg,Commercial,GEO,67.7,,,,,,1994-11-01,15.0,USA,Ariane 42P,0.0,Commercial,Ariane,1994
Astra 1F,Luxembourg,Commercial,GEO,19.22,,,,,,1996-04-18,15.0,USA,Proton K,0.0,Commercial,Proton,1996
Astra 1G,Luxembourg,Commercial,GEO,19.24,,,,,,1997-12-02,15.0,USA,Proton K,0.0,Commercial,Proton,1997
Astra 1KR,Luxembourg,Commercial,GEO,19.16,,,,,,2006-04-20,15.0,USA,Atlas 5,0.0,Commercial,Atlas,2006
